,录取批次,科类代码,科类名称,院校代码,院校名称,录取人数,最高分,原始最低分,第一次征集,第二次征集,第三次征集,第四次征集
470,二本及预科,5,理工,53G3,西南林业大学(预科),90,505,477,,,,
471,二本及预科,5,理工,53G8,普洱学院(预科),52,477,463,,,,
472,二本及预科,5,理工,53GB,玉溪师范学院(预科),15,497,482,,,,
473,二本及预科,5,理工,53GD,文山学院(预科),70,485,463,,,,
474,二本及预科,5,理工,53GK,滇西科技师范学院(预科),35,474,462,,,,
475,二本及预科,5,理工,53J3,云南财经大学(高等职业教育普通本科预科),53,492,465,,,,
476,二本及预科,5,理工,53J5,玉溪师范学院(预科定向),40,480,463,,,,
477,二本及预科,5,理工,53L3,昆明学院(医学类专业),34,569,546,,,,
478,二本及预科,5,理工,53Q2,云南师范大学(迪庆专项),24,550,510,,,,
479,二本及预科,5,理工,53R1,云南民族大学人民武装学院,55,501,451,,,,
480,二本及预科,5,理工,53T1,云南民族大学澜沧江—湄公河国际职业学院,208,504,465,,,,
481,二本及预科,5,理工,53Y2,昆明理工大学(贫困专项预科),40,547,459,,,,
482,二本及预科,5,理工,53Y4,西南林业大学(贫困专项预科),40,480,445,,,,
483,二本及预科,5,理工,53Y7,云南中医药大学(贫困专项预科),18,505,492,,,,
484,二本及预科,5,理工,53Y8,云南师范大学(贫困专项预科),30,520,481,,,,
485,二本及预科,5,理工,53YB,普洱学院(贫困专项预科),23,485,447,,,,
486,二本及预科,5,理工,53YD,红河学院(贫困专项预科),25,473,457,,,,
487,二本及预科,5,理工,53YE,云南财经大学(贫困专项预科),23,513,455,,,,
488,二本及预科,5,理工,53YG,玉溪师范学院(贫困专项预科),25,486,462,,,,
489,二本及预科,5,理工,53YJ,昆明学院(贫困专项预科),20,485,459,,,,
490,二本及预科,5,理工,53YK,文山学院(贫困专项预科),30,464,446,,,,
491,二本及预科,5,理工,53YL,滇西科技师范学院(贫困专项预科),15,469,449,,,,
492,二本及预科,5,理工,6106,西安工业大学,26,544,529,,,,
493,二本及预科,5,理工,6109,西安石油大学,8,535,524,,,,
494,二本及预科,5,理工,6116,延安大学,26,526,502,,,,
495,二本及预科,5,理工,6119,咸阳师范学院,8,521,500,,,,
496,二本及预科,5,理工,6127,西安文理学院,6,513,503,,,,
497,二本及预科,5,理工,6143,西安建筑科技大学华清学院,10,458,446,,,,
498,二本及预科,5,理工,6153,商洛学院,4,490,471,,,,
499,二本及预科,5,理工,6166,陕西学前师范学院,6,516,502,,,,
500,二本及预科,5,理工,6176,西安培华学院,2,467,457,,,,
501,二本及预科,5,理工,6202,兰州理工大学,19,532,521,,,,
502,二本及预科,5,理工,6207,兰州财经大学,20,537,518,,,,
503,二本及预科,5,理工,6209,甘肃政法大学(原甘肃政法学院更名),4,536,526,,,,
504,二本及预科,5,理工,6214,兰州理工大学技术工程学院,12,467,452,,,,
505,二本及预科,5,理工,6220,陇东学院,2,480,478,,,,
506,二本及预科,5,理工,62A0,西北师范大学(民族班),5,546,529,,,,
507,二本及预科,5,理工,62A1,西北师范大学(中外合作办学专业),5,518,490,,,,
508,二本及预科,5,理工,6302,青海师范大学,10,538,527,,,,
509,二本及预科,5,理工,6303,青海民族大学,4,501,491,,,,
510,二本及预科,5,理工,6406,宁夏理工学院,6,478,461,,,,
511,二本及预科,5,理工,64R1,北方民族大学(预科),10,511,479,,,,
512,二本及预科,5,理工,6518,塔里木大学,45,495,472,,,,
513,二本及预科,5,理工,6519,喀什大学,14,499,471,,,,
